Measure,Industry,Region,Quarter,Value,Flags
"Total earnings","Agriculture, forestry, and fishing","Southland","Sep-10",46612500,
"Total earnings","Agriculture, forestry, and fishing","Southland","Jun-10",42569400,
"Total earnings","Agriculture, forestry, and fishing","Southland","Mar-10",50261100,
"Total earnings","Agriculture, forestry, and fishing","Northland","Dec-09",33453600,
"Total earnings","Agriculture, forestry, and fishing","Northland","Sep-09",29917500,
"Total earnings","Agriculture, forestry, and fishing","Northland","Jun-09",30006100,
"Total earnings","Agriculture, forestry, and fishing","Northland","Mar-09",31074800,
"Total earnings","Agriculture, forestry, and fishing","Northland","Dec-08",35360500,
"Total earnings","Agriculture, forestry, and fishing","Northland","Sep-08",31381700,
"Total earnings","Agriculture, forestry, and fishing","Northland","Jun-08",31968200,
"Total earnings","Agriculture, forestry, and fishing","Northland","Mar-08",30641700,
"Total earnings","Agriculture, forestry, and fishing","Northland","Dec-07",34308500,
"Total earnings","Agriculture, forestry, and fishing","Northland","Sep-07",29132700,
"Total earnings","Agriculture, forestry, and fishing","Northland","Jun-07",28027200,
"Total earnings","Agriculture, forestry, and fishing","Northland","Mar-07",27381100,
"Total earnings","Agriculture, forestry, and fishing","Northland","Dec-06",32650500,
"Total earnings","Agriculture, forestry, and fishing","Northland","Sep-06",28893000,
"Total earnings","Agriculture, forestry, and fishing","Northland","Jun-06",28642500,
"Total earnings","Agriculture, forestry, and fishing","Northland","Mar-06",28467400,
"Total earnings","Agriculture, forestry, and fishing","Northland","Dec-05",34155100,
"Total earnings","Agriculture, forestry, and fishing","Northland","Sep-05",28468000,
"Total earnings","Agriculture, forestry, and fishing","Northland","Jun-05",27625800,
"Total earnings","Agriculture, forestry, and fishing","Northland","Mar-05",27868100,
"Total earnings","Agriculture, forestry, and fishing","Northland","Dec-04",29974900,
"Total earnings","Agriculture, forestry, and fishing","Northland","Sep-04",26563600,
"Total earnings","Agriculture, forestry, and fishing","Northland","Jun-04",26420300,
"Total earnings","Agriculture, forestry, and fishing","Northland","Mar-04",27505200,
"Total earnings","Agriculture, forestry, and fishing","Northland","Dec-03",30118900,
"Total earnings","Agriculture, forestry, and fishing","Northland","Sep-03",26984500,
"Total earnings","Agriculture, forestry, and fishing","Northland","Jun-03",26356700,
"Total earnings","Agriculture, forestry, and fishing","Northland","Mar-03",29929900,
"Total earnings","Agriculture, forestry, and fishing","Northland","Dec-02",29034600,
"Total earnings","Agriculture, forestry, and fishing","Northland","Sep-02",25877700,
"Total earnings","Agriculture, forestry, and fishing","Northland","Jun-02",26606000,
"Total earnings","Agriculture, forestry, and fishing","Northland","Mar-02",24971300,
"Total earnings","Agriculture, forestry, and fishing","Northland","Dec-01",25637100,
"Total earnings","Agriculture, forestry, and fishing","Northland","Sep-01",22619300,
"Total earnings","Agriculture, forestry, and fishing","Northland","Jun-01",21533400,
"Total earnings","Agriculture, forestry, and fishing","Northland","Mar-01",20524000,
"Total earnings","Agriculture, forestry, and fishing","Northland","Dec-00",21397900,
"Total earnings","Agriculture, forestry, and fishing","Northland","Sep-00",18077500,
"Total earnings","Agriculture, forestry, and fishing","Northland","Jun-00",17480200,
"Total earnings","Agriculture, forestry, and fishing","Northland","Mar-00",17967000,
"Total earnings","Agriculture, forestry, and fishing","Northland","Dec-99",18954400,
"Total earnings","Agriculture, forestry, and fishing","Auckland","Dec-99",33495000,
"Total earnings","Agriculture, forestry, and fishing","Auckland","Sep-99",26913000,
"Total earnings","Agriculture, forestry, and fishing","Northland","Sep-99",16066200,
"Total earnings","Agriculture, forestry, and fishing","Northland","Jun-99",15434300,
"Total earnings","Agriculture, forestry, and fishing","Auckland","Jun-99",24826600,
"Total earnings","Agriculture, forestry, and fishing","Taranaki","Dec-13",34830200,
"Total earnings","Agriculture, forestry, and fishing","Manawatu-Wanganui","Dec-13",70485300,
"Total earnings","Agriculture, forestry, and fishing","Gisborne","Dec-13",33786200,
"Total earnings","Agriculture, forestry, and fishing","Gisborne","Sep-13",28507300,
"Total earnings","Agriculture, forestry, and fishing","Manawatu-Wanganui","Sep-13",60042300,
"Total earnings","Agriculture, forestry, and fishing","Taranaki","Sep-13",30886200,
"Total earnings","Agriculture, forestry, and fishing","Taranaki","Jun-13",28085700,
"Total earnings","Agriculture, forestry, and fishing","Manawatu-Wanganui","Jun-13",58996400,
"Total earnings","Agriculture, forestry, and fishing","Gisborne","Jun-13",27592900,
"Total earnings","Agriculture, forestry, and fishing","Gisborne","Mar-13",28857800,
"Total earnings","Agriculture, forestry, and fishing","Manawatu-Wanganui","Mar-13",64830700,
"Total earnings","Agriculture, forestry, and fishing","Taranaki","Mar-13",29459300,
"Total earnings","Agriculture, forestry, and fishing","Taranaki","Dec-12",31896700,
"Total earnings","Agriculture, forestry, and fishing","Manawatu-Wanganui","Dec-12",66495700,
"Total earnings","Agriculture, forestry, and fishing","Gisborne","Dec-12",30313100,
"Total earnings","Agriculture, forestry, and fishing","Gisborne","Sep-12",26297200,
"Total earnings","Agriculture, forestry, and fishing","Manawatu-Wanganui","Sep-12",57569300,
"Total earnings","Agriculture, forestry, and fishing","Taranaki","Sep-12",29326100,
"Total earnings","Agriculture, forestry, and fishing","Taranaki","Jun-12",29263500,
"Total earnings","Agriculture, forestry, and fishing","Manawatu-Wanganui","Jun-12",57116600,
"Total earnings","Agriculture, forestry, and fishing","Gisborne","Jun-12",26110200,
"Total earnings","Agriculture, forestry, and fishing","Gisborne","Mar-12",28908700,
"Total earnings","Agriculture, forestry, and fishing","Manawatu-Wanganui","Mar-12",63928100,
"Total earnings","Agriculture, forestry, and fishing","Taranaki","Mar-12",29968200,
"Total earnings","Agriculture, forestry, and fishing","Taranaki","Dec-11",32517500,
"Total earnings","Agriculture, forestry, and fishing","Manawatu-Wanganui","Dec-11",64058500,
"Total earnings","Agriculture, forestry, and fishing","Gisborne","Dec-11",27996800,
"Total earnings","Agriculture, forestry, and fishing","Gisborne","Sep-11",25421600,
"Total earnings","Agriculture, forestry, and fishing","Manawatu-Wanganui","Sep-11",55808100,
"Total earnings","Agriculture, forestry, and fishing","Taranaki","Sep-11",28754900,
"Total earnings","Agriculture, forestry, and fishing","Taranaki","Jun-11",27175900,
"Total earnings","Agriculture, forestry, and fishing","Manawatu-Wanganui","Jun-11",55971300,
"Total earnings","Agriculture, forestry, and fishing","Gisborne","Jun-11",24183000,
"Total earnings","Agriculture, forestry, and fishing","Gisborne","Mar-11",26903800,
"Total earnings","Agriculture, forestry, and fishing","Manawatu-Wanganui","Mar-11",60097100,
"Total earnings","Agriculture, forestry, and fishing","Taranaki","Mar-11",28155000,
"Total earnings","Agriculture, forestry, and fishing","Taranaki","Dec-10",29479600,
"Total earnings","Agriculture, forestry, and fishing","Manawatu-Wanganui","Dec-10",62003300,
"Total earnings","Agriculture, forestry, and fishing","Gisborne","Dec-10",26037600,
"Total earnings","Agriculture, forestry, and fishing","Manawatu-Wanganui","Sep-10",52206700,
"Total earnings","Agriculture, forestry, and fishing","Taranaki","Sep-10",25938300,
"Total earnings","Agriculture, forestry, and fishing","Taranaki","Jun-10",24633000,
"Total earnings","Agriculture, forestry, and fishing","Manawatu-Wanganui","Jun-10",50151100,
"Total earnings","Agriculture, forestry, and fishing","Taranaki","Mar-10",25853600,
"Total earnings","Agriculture, forestry, and fishing","Manawatu-Wanganui","Mar-10",57589300,
"Total earnings","Agriculture, forestry, and fishing","Auckland","Dec-09",52092500,
"Total earnings","Agriculture, forestry, and fishing","Waikato","Dec-09",137263100,
"Total earnings","Agriculture, forestry, and fishing","Waikato","Sep-09",119362200,
"Total earnings","Agriculture, forestry, and fishing","Auckland","Sep-09",45874000,
"Total earnings","Agriculture, forestry, and fishing","Auckland","Jun-09",45111000,
"Total earnings","Agriculture, forestry, and fishing","Waikato","Jun-09",116304400,
"Total earnings","Agriculture, forestry, and fishing","Waikato","Mar-09",124075100,
"Total earnings","Agriculture, forestry, and fishing","Auckland","Mar-09",46591000,
"Total earnings","Agriculture, forestry, and fishing","Auckland","Dec-08",43808500,
"Total earnings","Agriculture, forestry, and fishing","Waikato","Dec-08",148741700,
"Total earnings","Agriculture, forestry, and fishing","Waikato","Sep-08",115253600,
"Total earnings","Agriculture, forestry, and fishing","Auckland","Sep-08",37922500,
"Total earnings","Agriculture, forestry, and fishing","Auckland","Jun-08",38571400,
"Total earnings","Agriculture, forestry, and fishing","Waikato","Jun-08",108083500,
"Total earnings","Agriculture, forestry, and fishing","Waikato","Mar-08",114660300,
"Total earnings","Agriculture, forestry, and fishing","Auckland","Mar-08",41283400,
"Total earnings","Agriculture, forestry, and fishing","Waikato","Dec-07",131475800,
"Total earnings","Agriculture, forestry, and fishing","Auckland","Dec-07",44213400,
"Total earnings","Agriculture, forestry, and fishing","Auckland","Sep-07",37538000,
"Total earnings","Agriculture, forestry, and fishing","Waikato","Sep-07",106869300,
"Total earnings","Agriculture, forestry, and fishing","Waikato","Jun-07",100901000,
"Total earnings","Agriculture, forestry, and fishing","Auckland","Jun-07",38069100,
"Total earnings","Agriculture, forestry, and fishing","Auckland","Mar-07",39132600,
"Total earnings","Agriculture, forestry, and fishing","Waikato","Mar-07",103985200,
"Total earnings","Agriculture, forestry, and fishing","Waikato","Dec-06",117009600,
"Total earnings","Agriculture, forestry, and fishing","Auckland","Dec-06",42131900,
"Total earnings","Agriculture, forestry, and fishing","Auckland","Sep-06",36386300,
"Total earnings","Agriculture, forestry, and fishing","Waikato","Sep-06",100698900,
"Total earnings","Agriculture, forestry, and fishing","Waikato","Jun-06",94359000,
"Total earnings","Agriculture, forestry, and fishing","Auckland","Jun-06",36564400,
"Total earnings","Agriculture, forestry, and fishing","Auckland","Mar-06",38414400,
"Total earnings","Agriculture, forestry, and fishing","Waikato","Mar-06",101999100,
"Total earnings","Agriculture, forestry, and fishing","Waikato","Dec-05",113736200,
"Total earnings","Agriculture, forestry, and fishing","Auckland","Dec-05",40280100,
"Total earnings","Agriculture, forestry, and fishing","Auckland","Sep-05",34426100,
"Total earnings","Agriculture, forestry, and fishing","Waikato","Sep-05",96157000,
"Total earnings","Agriculture, forestry, and fishing","Waikato","Jun-05",92879600,
"Total earnings","Agriculture, forestry, and fishing","Auckland","Jun-05",35234400,
"Total earnings","Agriculture, forestry, and fishing","Auckland","Mar-05",36923200,
"Total earnings","Agriculture, forestry, and fishing","Waikato","Mar-05",98681800,
"Total earnings","Agriculture, forestry, and fishing","Waikato","Dec-04",107454700,
"Total earnings","Agriculture, forestry, and fishing","Auckland","Dec-04",39562200,
"Total earnings","Agriculture, forestry, and fishing","Auckland","Sep-04",35268600,
"Total earnings","Agriculture, forestry, and fishing","Waikato","Sep-04",92201600,
"Total earnings","Agriculture, forestry, and fishing","Waikato","Jun-04",88494600,
"Total earnings","Agriculture, forestry, and fishing","Auckland","Jun-04",36061700,
"Total earnings","Agriculture, forestry, and fishing","Auckland","Mar-04",39077100,
"Total earnings","Agriculture, forestry, and fishing","Waikato","Mar-04",95607000,
"Total earnings","Agriculture, forestry, and fishing","Waikato","Dec-03",105373100,
