Measure,Territorial authority,Quarter,Value,Flags
"Total earnings","Waimate district","Jun-10",18115900,
"Total earnings","Waitaki district","Jun-10",86218800,
"Total earnings","Timaru district","Jun-10",198863500,
"Total earnings","Mackenzie district","Jun-10",14627500,
"Total earnings","Ashburton district","Jun-10",130827700,
"Total earnings","Selwyn district","Jun-10",128866600,
"Total earnings","Christchurch city (modified)","Jun-10",1994019100,
"Total earnings","Waimakariri district","Jun-10",95569800,
"Total earnings","Hurunui district","Jun-10",30833700,
"Total earnings","Westland district","Jun-10",31528300,
"Total earnings","Buller district","Jun-10",50253900,
"Total earnings","Grey district","Jun-10",76916100,
"Total earnings","Kaikoura district","Jun-10",12291400,
"Total earnings","Marlborough district","Jun-10",204499100,
"Total earnings","Nelson city","Jun-10",241800200,
"Total earnings","Tasman district","Jun-10",154253700,
"Total earnings","South Wairarapa district","Jun-10",21679200,
"Total earnings","Carterton district","Jun-10",23592200,
"Total earnings","Wellington city","Jun-10",1938953200,
"Total earnings","Masterton district","Jun-10",87183200,
"Total earnings","Lower Hutt city","Jun-10",496596400,
"Total earnings","Upper Hutt city","Jun-10",128352100,
"Total earnings","Porirua city","Jun-10",169735500,
"Total earnings","Kapiti Coast district","Jun-10",104797500,
"Total earnings","Manawatu district","Jun-10",89536500,
"Total earnings","Palmerston North city","Jun-10",492637600,
"Total earnings","Tararua district","Jun-10",46298100,
"Total earnings","Horowhenua district","Jun-10",72822300,
"Total earnings","Rangitikei district (modified)","Jun-10",44892400,
"Total earnings","Wanganui district","Jun-10",172579900,
"Total earnings","Ruapehu district (modified)","Jun-10",58424400,
"Total earnings","South Taranaki district","Jun-10",136225000,
"Total earnings","New Plymouth district","Jun-10",391545900,
"Total earnings","Stratford district","Jun-10",23743800,
"Total earnings","Wairoa district","Jun-10",28031000,
"Total earnings","Hastings district (modified)","Jun-10",365692000,
"Total earnings","Napier city","Jun-10",227908700,
"Total earnings","Central Hawke's Bay district","Jun-10",51898500,
"Total earnings","Opotiki district","Jun-10",25878100,
"Total earnings","Gisborne district","Jun-10",171712600,
"Total earnings","Whakatane district (modified)","Jun-10",125936200,
"Total earnings","Kawerau district","Jun-10",42233600,
"Total earnings","Tauranga city","Jun-10",496785300,
"Total earnings","Rotorua district","Jun-10",279674100,
"Total earnings","Western Bay of Plenty district","Jun-10",140600700,
"Total earnings","Taupo district (modified)","Jun-10",126082800,
"Total earnings","Waipa district","Jun-10",144580000,
"Total earnings","Matamata-Piako district","Jun-10",133980200,
"Total earnings","Hamilton city","Jun-10",815499200,
"Total earnings","Otorohanga district","Jun-10",31848100,
"Total earnings","Waitomo district (modified)","Jun-10",38124100,
"Total earnings","South Waikato district","Jun-10",84258300,
"Total earnings","Manukau city","Jun-10",1520917200,
"Total earnings","Waitakere city","Jun-10",489016000,
"Total earnings","North Shore city","Jun-10",1007522700,
"Total earnings","Kaipara district","Jun-10",47210500,
"Total earnings","Rodney district","Jun-10",216468800,
"Total earnings","Whangarei district","Jun-10",321032300,
"Total earnings","Franklin district","Jun-10",185011300,
"Total earnings","Auckland city","Jun-10",4145135000,
"Total earnings","Thames-Coromandel district","Jun-10",74557000,
"Total earnings","Papakura district","Jun-10",171816600,
"Total earnings","Waikato district","Jun-10",135068900,
"Total earnings","Hauraki district","Jun-10",50081400,
"Total earnings","Hauraki district","Mar-10",47677000,
"Total earnings","Waikato district","Mar-10",127642000,
"Total earnings","Thames-Coromandel district","Mar-10",76830900,
"Total earnings","Papakura district","Mar-10",167987600,
"Total earnings","Auckland city","Mar-10",3999121600,
"Total earnings","Franklin district","Mar-10",179436700,
"Total earnings","Whangarei district","Mar-10",302652700,
"Total earnings","Rodney district","Mar-10",204474400,
"Total earnings","Kaipara district","Mar-10",44842700,
"Total earnings","North Shore city","Mar-10",952202700,
"Total earnings","Waitakere city","Mar-10",457581800,
"Total earnings","Manukau city","Mar-10",1466938000,
"Total earnings","South Waikato district","Mar-10",77736200,
"Total earnings","Waitomo district (modified)","Mar-10",38207100,
"Total earnings","Otorohanga district","Mar-10",33687900,
"Total earnings","Matamata-Piako district","Mar-10",127358200,
"Total earnings","Hamilton city","Mar-10",779676500,
"Total earnings","Waipa district","Mar-10",138651400,
"Total earnings","Taupo district (modified)","Mar-10",125837700,
"Total earnings","Western Bay of Plenty district","Mar-10",108712700,
"Total earnings","Tauranga city","Mar-10",465602400,
"Total earnings","Rotorua district","Mar-10",276906800,
"Total earnings","Whakatane district (modified)","Mar-10",113687600,
"Total earnings","Kawerau district","Mar-10",44295000,
"Total earnings","Opotiki district","Mar-10",22004400,
"Total earnings","Gisborne district","Mar-10",169858100,
"Total earnings","Hastings district (modified)","Mar-10",346500400,
"Total earnings","Napier city","Mar-10",213373100,
"Total earnings","Central Hawke's Bay district","Mar-10",49646200,
"Total earnings","Wairoa district","Mar-10",27263800,
"Total earnings","New Plymouth district","Mar-10",375757900,
"Total earnings","Stratford district","Mar-10",23055500,
"Total earnings","South Taranaki district","Mar-10",127266600,
"Total earnings","Ruapehu district (modified)","Mar-10",56595800,
"Total earnings","Wanganui district","Mar-10",168613800,
"Total earnings","Rangitikei district (modified)","Mar-10",45327300,
"Total earnings","Palmerston North city","Mar-10",473917900,
"Total earnings","Horowhenua district","Mar-10",66109600,
"Total earnings","Tararua district","Mar-10",46820700,
"Total earnings","Manawatu district","Mar-10",81777500,
"Total earnings","Kapiti Coast district","Mar-10",100356200,
"Total earnings","Porirua city","Mar-10",163895200,
"Total earnings","Upper Hutt city","Mar-10",116599300,
"Total earnings","Lower Hutt city","Mar-10",473511000,
"Total earnings","Wellington city","Mar-10",1957908900,
"Total earnings","Masterton district","Mar-10",85457900,
"Total earnings","Carterton district","Mar-10",22617300,
"Total earnings","South Wairarapa district","Mar-10",21036600,
"Total earnings","Tasman district","Mar-10",148689800,
"Total earnings","Nelson city","Mar-10",233697300,
"Total earnings","Marlborough district","Mar-10",190038700,
"Total earnings","Kaikoura district","Mar-10",12581400,
"Total earnings","Buller district","Mar-10",47716900,
"Total earnings","Grey district","Mar-10",72924600,
"Total earnings","Westland district","Mar-10",32259700,
"Total earnings","Hurunui district","Mar-10",30010800,
"Total earnings","Waimakariri district","Mar-10",90111900,
"Total earnings","Christchurch city (modified)","Mar-10",1921248500,
"Total earnings","Selwyn district","Mar-10",125477700,
"Total earnings","Ashburton district","Mar-10",132964600,
"Total earnings","Timaru district","Mar-10",193567000,
"Total earnings","Mackenzie district","Mar-10",15940900,
"Total earnings","Waimate district","Mar-10",18450400,
"Total earnings","Waitaki district","Mar-10",84384000,
"Total earnings","Central Otago district","Mar-10",79066900,
"Total earnings","Queenstown-Lakes district","Mar-10",138570600,
"Total earnings","Dunedin city","Mar-10",535507900,
"Total earnings","Clutha district","Mar-10",66152400,
"Total earnings","Southland district","Mar-10",136798600,
"Total earnings","Gore district","Mar-10",53962000,
"Total earnings","Invercargill city","Mar-10",245285200,
"Total earnings","Invercargill city","Dec-09",253705900,
"Total earnings","Southland district","Dec-09",125925600,
"Total earnings","Clutha district","Dec-09",66749100,
"Total earnings","Gore district","Dec-09",54446600,
"Total earnings","Queenstown-Lakes district","Dec-09",136533400,
"Total earnings","Dunedin city","Dec-09",586028200,
"Total earnings","Central Otago district","Dec-09",76143300,
"Total earnings","Waitaki district","Dec-09",84979500,
"Total earnings","Timaru district","Dec-09",205473300,
"Total earnings","Mackenzie district","Dec-09",15088200,
"Total earnings","Waimate district","Dec-09",18768500,
"Total earnings","Ashburton district","Dec-09",133926700,
"Total earnings","Selwyn district","Dec-09",129841800,
"Total earnings","Christchurch city (modified)","Dec-09",2014189600,
"Total earnings","Waimakariri district","Dec-09",94349500,
"Total earnings","Hurunui district","Dec-09",30818300,
"Total earnings","Westland district","Dec-09",32761100,
"Total earnings","Buller district","Dec-09",50460600,
"Total earnings","Grey district","Dec-09",75196100,
"Total earnings","Marlborough district","Dec-09",198374100,
"Total earnings","Kaikoura district","Dec-09",12100300,
"Total earnings","Nelson city","Dec-09",238264400,
"Total earnings","South Wairarapa district","Dec-09",21308000,
"Total earnings","Tasman district","Dec-09",148230200,
"Total earnings","Carterton district","Dec-09",23767300,
"Total earnings","Masterton district","Dec-09",90573200,
"Total earnings","Upper Hutt city","Dec-09",120215900,
"Total earnings","Wellington city","Dec-09",2007742600,
"Total earnings","Lower Hutt city","Dec-09",504661100,
"Total earnings","Porirua city","Dec-09",172837900,
"Total earnings","Kapiti Coast district","Dec-09",104709500,
"Total earnings","Horowhenua district","Dec-09",71389000,
"Total earnings","Palmerston North city","Dec-09",500876000,
"Total earnings","Tararua district","Dec-09",48104000,
"Total earnings","Manawatu district","Dec-09",84527200,
"Total earnings","Rangitikei district (modified)","Dec-09",46230700,
"Total earnings","South Taranaki district","Dec-09",133368600,
"Total earnings","Ruapehu district (modified)","Dec-09",61198000,
"Total earnings","Wanganui district","Dec-09",168783600,
"Total earnings","Stratford district","Dec-09",23801200,
"Total earnings","Central Hawke's Bay district","Dec-09",45333400,
"Total earnings","New Plymouth district","Dec-09",388085700,
"Total earnings","Hastings district (modified)","Dec-09",340707500,
"Total earnings","Napier city","Dec-09",220503100,
"Total earnings","Wairoa district","Dec-09",27508600,
"Total earnings","Gisborne district","Dec-09",172121200,
"Total earnings","Whakatane district (modified)","Dec-09",120548600,
"Total earnings","Kawerau district","Dec-09",43513800,
"Total earnings","Opotiki district","Dec-09",23440800,
"Total earnings","Tauranga city","Dec-09",489197100,
"Total earnings","Rotorua district","Dec-09",289287800,
"Total earnings","Western Bay of Plenty district","Dec-09",109370800,
"Total earnings","Taupo district (modified)","Dec-09",132084100,
"Total earnings","Waitomo district (modified)","Dec-09",37652000,
"Total earnings","Waipa district","Dec-09",147516000,
"Total earnings","Matamata-Piako district","Dec-09",135361800,
"Total earnings","Hamilton city","Dec-09",827481100,
"Total earnings","Otorohanga district","Dec-09",33146400,
"Total earnings","South Waikato district","Dec-09",83710700,
"Total earnings","Manukau city","Dec-09",1523568500,
"Total earnings","Auckland city","Dec-09",4211743000,
"Total earnings","Waitakere city","Dec-09",489769900,
"Total earnings","North Shore city","Dec-09",1002992400,
"Total earnings","Kaipara district","Dec-09",47630500,
"Total earnings","Rodney district","Dec-09",216435800,
"Total earnings","Whangarei district","Dec-09",324309700,
"Total earnings","Franklin district","Dec-09",187371000,
"Total earnings","Papakura district","Dec-09",183357800,
"Total earnings","Thames-Coromandel district","Dec-09",78655400,
"Total earnings","Hauraki district","Dec-09",48226400,
"Total earnings","Waikato district","Dec-09",137922100,
"Total earnings","Waikato district","Sep-09",134149300,
"Total earnings","Hauraki district","Sep-09",48446400,
"Total earnings","Thames-Coromandel district","Sep-09",76098100,
"Total earnings","Papakura district","Sep-09",176119700,
"Total earnings","Franklin district","Sep-09",185352400,
"Total earnings","Whangarei district","Sep-09",322615700,
"Total earnings","Kaipara district","Sep-09",43989400,
"Total earnings","Rodney district","Sep-09",211333900,
"Total earnings","North Shore city","Sep-09",991251100,
"Total earnings","Waitakere city","Sep-09",484043800,
"Total earnings","Auckland city","Sep-09",4130428600,
"Total earnings","Manukau city","Sep-09",1518635500,
"Total earnings","South Waikato district","Sep-09",81921700,
"Total earnings","Otorohanga district","Sep-09",33443900,
"Total earnings","Matamata-Piako district","Sep-09",130123500,
"Total earnings","Waipa district","Sep-09",142360900,
"Total earnings","Hamilton city","Sep-09",828923900,
"Total earnings","Waitomo district (modified)","Sep-09",36242100,
"Total earnings","Taupo district (modified)","Sep-09",131295700,
"Total earnings","Western Bay of Plenty district","Sep-09",115601000,
"Total earnings","Rotorua district","Sep-09",284884100,
"Total earnings","Tauranga city","Sep-09",476999300,
"Total earnings","Opotiki district","Sep-09",24249000,
"Total earnings","Kawerau district","Sep-09",43331600,
"Total earnings","Whakatane district (modified)","Sep-09",116915500,
"Total earnings","Gisborne district","Sep-09",170603800,
"Total earnings","Wairoa district","Sep-09",26296300,
"Total earnings","Napier city","Sep-09",222025400,
"Total earnings","Hastings district (modified)","Sep-09",331930900,
"Total earnings","New Plymouth district","Sep-09",382652000,
"Total earnings","Central Hawke's Bay district","Sep-09",43526200,
"Total earnings","Stratford district","Sep-09",24179400,
"Total earnings","Wanganui district","Sep-09",170733900,
"Total earnings","Ruapehu district (modified)","Sep-09",64986700,
"Total earnings","South Taranaki district","Sep-09",120968500,
"Total earnings","Manawatu district","Sep-09",82758300,
"Total earnings","Rangitikei district (modified)","Sep-09",44146300,
"Total earnings","Tararua district","Sep-09",46946200,
"Total earnings","Horowhenua district","Sep-09",70314500,
"Total earnings","Palmerston North city","Sep-09",507469300,
"Total earnings","Kapiti Coast district","Sep-09",102934400,
"Total earnings","Porirua city","Sep-09",173936100,
"Total earnings","Lower Hutt city","Sep-09",500687200,
"Total earnings","Wellington city","Sep-09",2043910800,
"Total earnings","Upper Hutt city","Sep-09",117911900,
"Total earnings","Masterton district","Sep-09",90621200,
"Total earnings","Carterton district","Sep-09",22007300,
"Total earnings","Tasman district","Sep-09",144262800,
"Total earnings","South Wairarapa district","Sep-09",20711400,
"Total earnings","Nelson city","Sep-09",241887900,
"Total earnings","Kaikoura district","Sep-09",10810700,
"Total earnings","Marlborough district","Sep-09",199327600,
"Total earnings","Grey district","Sep-09",73607700,
"Total earnings","Buller district","Sep-09",48573500,
"Total earnings","Westland district","Sep-09",28854000,
"Total earnings","Hurunui district","Sep-09",30854800,
"Total earnings","Waimakariri district","Sep-09",91708500,
"Total earnings","Christchurch city (modified)","Sep-09",2005521200,
"Total earnings","Selwyn district","Sep-09",130038700,
"Total earnings","Ashburton district","Sep-09",129952800,
"Total earnings","Waimate district","Sep-09",18847200,
"Total earnings","Mackenzie district","Sep-09",14648800,
"Total earnings","Timaru district","Sep-09",193864200,
"Total earnings","Waitaki district","Sep-09",79676600,
"Total earnings","Central Otago district","Sep-09",72906900,
"Total earnings","Dunedin city","Sep-09",574763000,
"Total earnings","Queenstown-Lakes district","Sep-09",144025300,
"Total earnings","Clutha district","Sep-09",62014500,
"Total earnings","Gore district","Sep-09",49973200,
"Total earnings","Southland district","Sep-09",111499500,
"Total earnings","Invercargill city","Sep-09",245775100,
"Total earnings","Invercargill city","Jun-09",249150600,
"Total earnings","Southland district","Jun-09",129633400,
"Total earnings","Gore district","Jun-09",55857600,
"Total earnings","Clutha district","Jun-09",66302700,
"Total earnings","Queenstown-Lakes district","Jun-09",130170900,
"Total earnings","Dunedin city","Jun-09",562700400,
"Total earnings","Central Otago district","Jun-09",73393700,
"Total earnings","Waitaki district","Jun-09",84121000,
"Total earnings","Timaru district","Jun-09",196309900,
"Total earnings","Mackenzie district","Jun-09",14054400,
"Total earnings","Waimate district","Jun-09",17565900,
"Total earnings","Ashburton district","Jun-09",130859700,
"Total earnings","Selwyn district","Jun-09",123519700,
"Total earnings","Waimakariri district","Jun-09",89185600,
"Total earnings","Christchurch city (modified)","Jun-09",1941234500,
"Total earnings","Hurunui district","Jun-09",29243200,
"Total earnings","Westland district","Jun-09",29955900,
"Total earnings","Buller district","Jun-09",46034300,
"Total earnings","Grey district","Jun-09",70641300,
"Total earnings","Marlborough district","Jun-09",202573000,
"Total earnings","Kaikoura district","Jun-09",11583600,
"Total earnings","Nelson city","Jun-09",234519700,
"Total earnings","South Wairarapa district","Jun-09",20212200,
"Total earnings","Tasman district","Jun-09",150073700,
"Total earnings","Carterton district","Jun-09",20448200,
"Total earnings","Masterton district","Jun-09",85833300,
"Total earnings","Upper Hutt city","Jun-09",116335900,
"Total earnings","Wellington city","Jun-09",1959903000,
"Total earnings","Lower Hutt city","Jun-09",494410800,
"Total earnings","Porirua city","Jun-09",167540100,
"Total earnings","Kapiti Coast district","Jun-09",99623900,
"Total earnings","Palmerston North city","Jun-09",478233200,
"Total earnings","Horowhenua district","Jun-09",68165200,
"Total earnings","Tararua district","Jun-09",44733500,
"Total earnings","Rangitikei district (modified)","Jun-09",47233200,
"Total earnings","Manawatu district","Jun-09",78549200,
"Total earnings","South Taranaki district","Jun-09",119378300,
"Total earnings","Ruapehu district (modified)","Jun-09",55545800,
"Total earnings","Wanganui district","Jun-09",165855200,
"Total earnings","Stratford district","Jun-09",23064500,
"Total earnings","Central Hawke's Bay district","Jun-09",47485800,
"Total earnings","New Plymouth district","Jun-09",375259000,
"Total earnings","Hastings district (modified)","Jun-09",350754400,
"Total earnings","Napier city","Jun-09",223803300,
"Total earnings","Wairoa district","Jun-09",27701900,
"Total earnings","Gisborne district","Jun-09",168067900,
"Total earnings","Whakatane district (modified)","Jun-09",121579900,
"Total earnings","Kawerau district","Jun-09",45122800,
"Total earnings","Opotiki district","Jun-09",25797900,
"Total earnings","Tauranga city","Jun-09",471540900,
"Total earnings","Rotorua district","Jun-09",278084700,
"Total earnings","Western Bay of Plenty district","Jun-09",137130100,
"Total earnings","Taupo district (modified)","Jun-09",127480500,
"Total earnings","Waipa district","Jun-09",134407600,
"Total earnings","Matamata-Piako district","Jun-09",127577400,
"Total earnings","Hamilton city","Jun-09",814284500,
"Total earnings","Otorohanga district","Jun-09",32645800,
"Total earnings","South Waikato district","Jun-09",79250100,
"Total earnings","Waitomo district (modified)","Jun-09",36262100,
"Total earnings","Manukau city","Jun-09",1470348600,
"Total earnings","Auckland city","Jun-09",4042460600,
"Total earnings","Waitakere city","Jun-09",463774100,
"Total earnings","North Shore city","Jun-09",963645800,
"Total earnings","Rodney district","Jun-09",210708500,
"Total earnings","Kaipara district","Jun-09",44366800,
"Total earnings","Whangarei district","Jun-09",311795700,
"Total earnings","Franklin district","Jun-09",178260300,
"Total earnings","Papakura district","Jun-09",173457800,
"Total earnings","Thames-Coromandel district","Jun-09",75043600,
"Total earnings","Hauraki district","Jun-09",47272000,
"Total earnings","Waikato district","Jun-09",120741200,
"Total earnings","Waikato district","Mar-09",121219700,
"Total earnings","Hauraki district","Mar-09",46360100,
"Total earnings","Thames-Coromandel district","Mar-09",77913300,
"Total earnings","Franklin district","Mar-09",180809500,
"Total earnings","Papakura district","Mar-09",165881400,
"Total earnings","Whangarei district","Mar-09",304739300,
"Total earnings","Kaipara district","Mar-09",42454200,
"Total earnings","Rodney district","Mar-09",204670500,
"Total earnings","North Shore city","Mar-09",948546100,
"Total earnings","Waitakere city","Mar-09",448025400,
"Total earnings","Auckland city","Mar-09",3948062600,
"Total earnings","Manukau city","Mar-09",1434642900,
"Total earnings","Waitomo district (modified)","Mar-09",36294900,
"Total earnings","South Waikato district","Mar-09",75509100,
"Total earnings","Otorohanga district","Mar-09",31076200,
"Total earnings","Hamilton city","Mar-09",772215800,
"Total earnings","Matamata-Piako district","Mar-09",124975600,
"Total earnings","Waipa district","Mar-09",130240100,
"Total earnings","Taupo district (modified)","Mar-09",124406400,
"Total earnings","Western Bay of Plenty district","Mar-09",105015300,
"Total earnings","Tauranga city","Mar-09",449113000,
"Total earnings","Rotorua district","Mar-09",270516200,
"Total earnings","Opotiki district","Mar-09",21972100,
"Total earnings","Kawerau district","Mar-09",41870300,
"Total earnings","Whakatane district (modified)","Mar-09",108088700,
"Total earnings","Gisborne district","Mar-09",164903300,
"Total earnings","Wairoa district","Mar-09",27851400,
"Total earnings","Napier city","Mar-09",219597700,
"Total earnings","Central Hawke's Bay district","Mar-09",44282000,
"Total earnings","Hastings district (modified)","Mar-09",346185200,
"Total earnings","New Plymouth district","Mar-09",372847200,
"Total earnings","Stratford district","Mar-09",23202000,
"Total earnings","Wanganui district","Mar-09",160219100,
"Total earnings","Ruapehu district (modified)","Mar-09",56275900,
"Total earnings","South Taranaki district","Mar-09",116632500,
"Total earnings","Manawatu district","Mar-09",76415900,
"Total earnings","Rangitikei district (modified)","Mar-09",47499700,
"Total earnings","Tararua district","Mar-09",45829300,
"Total earnings","Horowhenua district","Mar-09",65808700,
"Total earnings","Palmerston North city","Mar-09",458963800,
"Total earnings","Kapiti Coast district","Mar-09",97881100,
"Total earnings","Porirua city","Mar-09",156741900,
"Total earnings","Wellington city","Mar-09",1868347700,
"Total earnings","Upper Hutt city","Mar-09",109050100,
"Total earnings","Lower Hutt city","Mar-09",471947600,
"Total earnings","Masterton district","Mar-09",84663100,
"Total earnings","Carterton district","Mar-09",22762700,
"Total earnings","Tasman district","Mar-09",147980700,
"Total earnings","South Wairarapa district","Mar-09",21173800,
"Total earnings","Nelson city","Mar-09",223094100,
"Total earnings","Kaikoura district","Mar-09",12175000,
"Total earnings","Marlborough district","Mar-09",198400500,
"Total earnings","Grey district","Mar-09",67860500,
"Total earnings","Buller district","Mar-09",44852600,
"Total earnings","Westland district","Mar-09",30217200,
"Total earnings","Hurunui district","Mar-09",29911600,
"Total earnings","Christchurch city (modified)","Mar-09",1900041200,
"Total earnings","Waimakariri district","Mar-09",86655900,
"Total earnings","Selwyn district","Mar-09",117355200,
"Total earnings","Ashburton district","Mar-09",128711700,
"Total earnings","Waimate district","Mar-09",18281900,
"Total earnings","Timaru district","Mar-09",187418200,
"Total earnings","Mackenzie district","Mar-09",15517100,
"Total earnings","Waitaki district","Mar-09",80244000,
"Total earnings","Central Otago district","Mar-09",80569400,
"Total earnings","Dunedin city","Mar-09",533966100,
"Total earnings","Queenstown-Lakes district","Mar-09",132398400,
"Total earnings","Clutha district","Mar-09",65970000,
"Total earnings","Gore district","Mar-09",53885400,
"Total earnings","Southland district","Mar-09",134585500,
"Total earnings","Invercargill city","Mar-09",240521000,
"Total earnings","Clutha district","Dec-08",69810700,
"Total earnings","Southland district","Dec-08",136806200,
"Total earnings","Gore district","Dec-08",56109900,
"Total earnings","Invercargill city","Dec-08",260938700,
"Total earnings","Queenstown-Lakes district","Dec-08",144035000,
"Total earnings","Dunedin city","Dec-08",596156300,
"Total earnings","Waitaki district","Dec-08",86019600,
"Total earnings","Central Otago district","Dec-08",79505200,
"Total earnings","Ashburton district","Dec-08",141047900,
"Total earnings","Timaru district","Dec-08",207538400,
"Total earnings","Mackenzie district","Dec-08",15173200,
"Total earnings","Waimate district","Dec-08",19665300,
"Total earnings","Christchurch city (modified)","Dec-08",2118983800,
"Total earnings","Selwyn district","Dec-08",125101500,
"Total earnings","Hurunui district","Dec-08",31820700,
"Total earnings","Waimakariri district","Dec-08",95821500,
"Total earnings","Grey district","Dec-08",73803900,
"Total earnings","Westland district","Dec-08",33005200,
"Total earnings","Nelson city","Dec-08",254569700,
"Total earnings","Marlborough district","Dec-08",207123800,
"Total earnings","Kaikoura district","Dec-08",12660400,
"Total earnings","Buller district","Dec-08",49543100,
"Total earnings","South Wairarapa district","Dec-08",22165100,
"Total earnings","Tasman district","Dec-08",150817100,
"Total earnings","Masterton district","Dec-08",96597000,
"Total earnings","Carterton district","Dec-08",24409100,
"Total earnings","Lower Hutt city","Dec-08",528788700,
"Total earnings","Wellington city","Dec-08",2100229400,
"Total earnings","Porirua city","Dec-08",175778100,
"Total earnings","Upper Hutt city","Dec-08",120500600,
"Total earnings","Horowhenua district","Dec-08",78643700,
"Total earnings","Kapiti Coast district","Dec-08",107467800,
"Total earnings","Palmerston North city","Dec-08",507312900,
"Total earnings","Tararua district","Dec-08",50708600,
"Total earnings","Rangitikei district (modified)","Dec-08",51454700,
"Total earnings","Manawatu district","Dec-08",83129400,
"Total earnings","Stratford district","Dec-08",26671400,
"Total earnings","South Taranaki district","Dec-08",124139200,
"Total earnings","Ruapehu district (modified)","Dec-08",60583500,
"Total earnings","Wanganui district","Dec-08",178338300,
"Total earnings","Central Hawke's Bay district","Dec-08",48460100,
"Total earnings","New Plymouth district","Dec-08",400422000,
"Total earnings","Hastings district (modified)","Dec-08",359758700,
"Total earnings","Napier city","Dec-08",238114500,
"Total earnings","Gisborne district","Dec-08",178692300,
"Total earnings","Wairoa district","Dec-08",30673500,
"Total earnings","Kawerau district","Dec-08",48774300,
"Total earnings","Opotiki district","Dec-08",24285300,
"Total earnings","Western Bay of Plenty district","Dec-08",117992600,
"Total earnings","Tauranga city","Dec-08",509356500,
"Total earnings","Rotorua district","Dec-08",309264500,
"Total earnings","Whakatane district (modified)","Dec-08",122005200,
"Total earnings","Waitomo district (modified)","Dec-08",42907900,
"Total earnings","Taupo district (modified)","Dec-08",136148900,
"Total earnings","Hamilton city","Dec-08",873896200,
"Total earnings","Waipa district","Dec-08",148002400,
"Total earnings","Otorohanga district","Dec-08",35645800,
"Total earnings","South Waikato district","Dec-08",88840900,
"Total earnings","Manukau city","Dec-08",1567622900,
"Total earnings","Auckland city","Dec-08",4398771300,
"Total earnings","Waitakere city","Dec-08",514325700,
"Total earnings","North Shore city","Dec-08",1046663000,
"Total earnings","Rodney district","Dec-08",234134800,
"Total earnings","Kaipara district","Dec-08",48985400,
"Total earnings","Whangarei district","Dec-08",341083900,
"Total earnings","Papakura district","Dec-08",187176500,
"Total earnings","Franklin district","Dec-08",202402100,
"Total earnings","Thames-Coromandel district","Dec-08",84775000,
"Total earnings","Hauraki district","Dec-08",51106300,
"Total earnings","Waikato district","Dec-08",146548300,
"Total earnings","Matamata-Piako district","Dec-08",140657200,
"Total earnings","Matamata-Piako district","Sep-08",136335400,
"Total earnings","Waikato district","Sep-08",126477300,
"Total earnings","Thames-Coromandel district","Sep-08",77788400,
"Total earnings","Hauraki district","Sep-08",47897600,
"Total earnings","Franklin district","Sep-08",195240900,
"Total earnings","Papakura district","Sep-08",174008900,
"Total earnings","Whangarei district","Sep-08",323056700,
"Total earnings","Kaipara district","Sep-08",44367000,
"Total earnings","Rodney district","Sep-08",222546300,
"Total earnings","North Shore city","Sep-08",1003448500,
"Total earnings","Waitakere city","Sep-08",481768400,
"Total earnings","Auckland city","Sep-08",4245531100,
"Total earnings","Manukau city","Sep-08",1505207000,
"Total earnings","South Waikato district","Sep-08",83392300,
"Total earnings","Otorohanga district","Sep-08",33072800,
"Total earnings","Waipa district","Sep-08",138575700,
"Total earnings","Hamilton city","Sep-08",831510600,
"Total earnings","Taupo district (modified)","Sep-08",128416100,
"Total earnings","Waitomo district (modified)","Sep-08",38190900,
"Total earnings","Western Bay of Plenty district","Sep-08",120080600,
"Total earnings","Whakatane district (modified)","Sep-08",119450900,
"Total earnings","Rotorua district","Sep-08",286727300,
"Total earnings","Tauranga city","Sep-08",480234200,
"Total earnings","Opotiki district","Sep-08",24111600,
"Total earnings","Kawerau district","Sep-08",44243900,
"Total earnings","Wairoa district","Sep-08",28211400,
"Total earnings","Gisborne district","Sep-08",163315600,
"Total earnings","Napier city","Sep-08",224398100,
"Total earnings","Hastings district (modified)","Sep-08",342082400,
"Total earnings","New Plymouth district","Sep-08",379340600,
"Total earnings","Central Hawke's Bay district","Sep-08",43423000,
"Total earnings","Wanganui district","Sep-08",166621100,
"Total earnings","South Taranaki district","Sep-08",126718800,
"Total earnings","Stratford district","Sep-08",25085800,
"Total earnings","Manawatu district","Sep-08",78072500,
"Total earnings","Rangitikei district (modified)","Sep-08",48048400,
"Total earnings","Ruapehu district (modified)","Sep-08",60704800,
"Total earnings","Tararua district","Sep-08",52662100,
"Total earnings","Palmerston North city","Sep-08",478259700,
"Total earnings","Kapiti Coast district","Sep-08",103327000,
"Total earnings","Horowhenua district","Sep-08",74604900,
"Total earnings","Upper Hutt city","Sep-08",111820700,
"Total earnings","Wellington city","Sep-08",1954962500,
"Total earnings","Lower Hutt city","Sep-08",503938000,
"Total earnings","Porirua city","Sep-08",160972300,
"Total earnings","Carterton district","Sep-08",22941200,
"Total earnings","Masterton district","Sep-08",89615600,
"Total earnings","Tasman district","Sep-08",138799800,
"Total earnings","South Wairarapa district","Sep-08",20432900,
"Total earnings","Buller district","Sep-08",45623100,
"Total earnings","Kaikoura district","Sep-08",12332700,
"Total earnings","Nelson city","Sep-08",237696100,
"Total earnings","Marlborough district","Sep-08",198896200,
"Total earnings","Westland district","Sep-08",27334600,
"Total earnings","Grey district","Sep-08",69188200,
"Total earnings","Waimakariri district","Sep-08",90382500,
