Measure,Territorial authority,Quarter,Value,Flags
"Total earnings","Tararua district","Dec-13",60808400,
"Total earnings","Horowhenua district","Dec-13",82628000,
"Total earnings","Kapiti Coast district","Dec-13",115744000,
"Total earnings","Porirua city","Dec-13",197669500,
"Total earnings","Upper Hutt city","Dec-13",132267100,
"Total earnings","Lower Hutt city","Dec-13",559599100,
"Total earnings","Wellington city","Dec-13",2374797500,
"Total earnings","Masterton district","Dec-13",102689000,
"Total earnings","Carterton district","Dec-13",30419500,
"Total earnings","South Wairarapa district","Dec-13",25317500,
"Total earnings","Tasman district","Dec-13",183784600,
"Total earnings","Tasman district","Sep-13",166094100,
"Total earnings","Carterton district","Sep-13",26673500,
"Total earnings","Wellington city","Sep-13",2312801000,
"Total earnings","Lower Hutt city","Sep-13",520216300,
"Total earnings","Masterton district","Sep-13",91699100,
"Total earnings","Upper Hutt city","Sep-13",127402600,
"Total earnings","Horowhenua district","Sep-13",77575700,
"Total earnings","Porirua city","Sep-13",183173900,
"Total earnings","Kapiti Coast district","Sep-13",107758600,
"Total earnings","Tararua district","Sep-13",53186800,
"Total earnings","Manawatu district","Sep-13",78120800,
"Total earnings","Rangitikei district (modified)","Sep-13",44951500,
"Total earnings","Palmerston North city","Sep-13",520944400,
"Total earnings","Wanganui district","Sep-13",170675200,
"Total earnings","Stratford district","Sep-13",28256500,
"Total earnings","Ruapehu district (modified)","Sep-13",55039600,
"Total earnings","South Taranaki district","Sep-13",140629600,
"Total earnings","New Plymouth district","Sep-13",453333300,
"Total earnings","Napier city","Sep-13",232172800,
"Total earnings","Hastings district (modified)","Sep-13",369191400,
"Total earnings","Central Hawke's Bay district","Sep-13",47642400,
"Total earnings","Wairoa district","Sep-13",25433600,
"Total earnings","Kawerau district","Sep-13",36360000,
"Total earnings","Gisborne district","Sep-13",181298200,
"Total earnings","Opotiki district","Sep-13",25569400,
"Total earnings","Whakatane district (modified)","Sep-13",134945300,
"Total earnings","Tauranga city","Sep-13",570896800,
"Total earnings","Western Bay of Plenty district","Sep-13",117744100,
"Total earnings","Rotorua district","Sep-13",328509100,
"Total earnings","Taupo district (modified)","Sep-13",146845000,
"Total earnings","Otorohanga district","Sep-13",34882000,
"Total earnings","Waitomo district (modified)","Sep-13",41552300,
