Usual residence,Far North District,Whangarei District,Kaipara District,Auckland,Thames-Coromandel District,Hauraki District,Waikato District,Matamata-Piako District,Hamilton City,Waipa District,Otorohanga District,South Waikato District,Waitomo District,Taupo District,Western Bay of Plenty District,Tauranga City,Rotorua District,Whakatane District,Kawerau District,Opotiki District,Gisborne District,Wairoa District,Hastings District,Napier City,Central Hawke's Bay District,New Plymouth District,Stratford District,South Taranaki District,Ruapehu District,Wanganui District,Rangitikei District,Manawatu District,Palmerston North City,Tararua District,Horowhenua District,Kapiti Coast District,Porirua City,Upper Hutt City,Lower Hutt City,Wellington City,Masterton District,Carterton District,South Wairarapa District,Tasman District,Nelson City,Marlborough District,Kaikoura District,Buller District,Grey District,Westland District,Hurunui District,Waimakariri District,Christchurch City,Selwyn District,Ashburton District,Timaru District,Mackenzie District,Waimate District,Chatham Islands Territory,Waitaki District,Central Otago District,Queenstown-Lakes District,Dunedin City,Clutha District,Southland District,Gore District,Invercargill City,Northland Region Not Further Defined,Auckland Region Not Further Defined,Waikato Region Not Further Defined,Bay of Plenty Region Not Further Defined,Gisborne Region Not Further Defined,Hawke's Bay Region Not Further Defined,Taranaki Region Not Further Defined,Manawatu-Wanganui Region Not Further Defined,Wellington Region Not Further Defined,West Coast Region Not Further Defined,Canterbury Region Not Further Defined,Otago Region Not Further Defined,Southland Region Not Further Defined,Tasman Region Not Further Defined,Nelson Region Not Further Defined,Marlborough Region Not Further Defined,No Fixed Workplace Address,New Zealand Not Further Defined,Area Outside Territorial Authority,Total workplace address
Hurunui District,..C,..C,..C,9,..C,..C,..C,6,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,12,18,..C,..C,..C,4305,360,738,30,9,12,..C,..C,..C,..C,..C,..C,..C,..C,6,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,87,..C,..C,..C,..C,..C,27,549,..C,6240
Waimakariri District,12,..C,..C,99,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,6,..C,..C,..C,..C,..C,..C,..C,..C,..C,6,..C,..C,..C,27,6,..C,..C,9,12,42,6,9,..C,..C,276,11439,10728,285,30,24,6,6,..C,..C,12,9,15,..C,..C,..C,9,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,348,..C,..C,..C,..C,..C,141,2229,..C,25875
Christchurch City,9,12,..C,294,6,..C,..C,..C,33,..C,..C,..C,..C,9,6,21,9,..C,..C,..C,6,..C,..C,12,..C,18,..C,..C,15,6,..C,..C,15,..C,..C,6,9,6,21,144,12,..C,..C,45,51,93,24,42,27,18,198,2058,150066,3804,294,165,42,15,..C,27,24,78,138,9,24,..C,36,..C,6,..C,..C,..C,..C,..C,..C,..C,..C,933,..C,6,..C,..C,..C,735,13926,..C,173610
Selwyn District,6,6,..C,81,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,6,9,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,9,..C,..C,..C,18,6,..C,..C,..C,6,..C,33,..C,..C,..C,6,12,15,..C,12,..C,..C,18,129,11169,10809,264,33,9,9,..C,..C,9,9,12,..C,15,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,222,..C,..C,..C,..C,..C,111,1674,..C,24801
Ashburton District,..C,..C,..C,18,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,6,15,528,300,14001,174,9,..C,..C,..C,..C,..C,6,..C,9,..C,6,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,165,..C,..C,..C,..C,..C,51,1281,..C,16656
Timaru District,6,9,..C,39,..C,42,..C,6,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,12,..C,..C,..C,6,..C,6,..C,..C,..C,..C,6,15,255,36,216,18732,54,99,..C,39,9,6,24,..C,9,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,210,..C,..C,..C,..C,..C,84,1800,..C,21816
Mackenzie District,..C,..C,..C,12,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,45,..C,15,126,1788,..C,..C,75,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,39,..C,..C,..C,..C,..C,12,162,..C,2313
Waimate District,..C,..C,..C,..C,..C,6,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,9,..C,..C,..C,..C,..C,..C,24,9,..C,525,9,2385,..C,180,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,33,..C,..C,..C,..C,..C,18,321,..C,3555
Chatham Islands Territory,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,279,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,54,..C,348
Waitaki District,15,6,..C,75,12,..C,..C,..C,6,..C,..C,..C,..C,..C,..C,6,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,6,..C,..C,..C,..C,..C,6,..C,..C,..C,..C,..C,..C,9,..C,..C,..C,..C,..C,..C,..C,9,..C,..C,..C,..C,51,12,12,48,24,51,..C,8076,18,18,246,18,12,..C,15,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,9,90,..C,..C,..C,..C,60,882,..C,9870
