Usual residence,Far North District,Whangarei District,Kaipara District,Auckland,Thames-Coromandel District,Hauraki District,Waikato District,Matamata-Piako District,Hamilton City,Waipa District,Otorohanga District,South Waikato District,Waitomo District,Taupo District,Western Bay of Plenty District,Tauranga City,Rotorua District,Whakatane District,Kawerau District,Opotiki District,Gisborne District,Wairoa District,Hastings District,Napier City,Central Hawke's Bay District,New Plymouth District,Stratford District,South Taranaki District,Ruapehu District,Wanganui District,Rangitikei District,Manawatu District,Palmerston North City,Tararua District,Horowhenua District,Kapiti Coast District,Porirua City,Upper Hutt City,Lower Hutt City,Wellington City,Masterton District,Carterton District,South Wairarapa District,Tasman District,Nelson City,Marlborough District,Kaikoura District,Buller District,Grey District,Westland District,Hurunui District,Waimakariri District,Christchurch City,Selwyn District,Ashburton District,Timaru District,Mackenzie District,Waimate District,Chatham Islands Territory,Waitaki District,Central Otago District,Queenstown-Lakes District,Dunedin City,Clutha District,Southland District,Gore District,Invercargill City,Northland Region Not Further Defined,Auckland Region Not Further Defined,Waikato Region Not Further Defined,Bay of Plenty Region Not Further Defined,Gisborne Region Not Further Defined,Hawke's Bay Region Not Further Defined,Taranaki Region Not Further Defined,Manawatu-Wanganui Region Not Further Defined,Wellington Region Not Further Defined,West Coast Region Not Further Defined,Canterbury Region Not Further Defined,Otago Region Not Further Defined,Southland Region Not Further Defined,Tasman Region Not Further Defined,Nelson Region Not Further Defined,Marlborough Region Not Further Defined,No Fixed Workplace Address,New Zealand Not Further Defined,Area Outside Territorial Authority,Total workplace address
Otorohanga District,..C,9,..C,54,9,..C,30,6,249,330,2832,9,309,9,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,6,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,21,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,21,432,..C,4410
South Waikato District,15,12,..C,96,9,..C,42,270,207,153,15,6378,15,117,18,45,177,6,12,6,..C,..C,9,..C,..C,15,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,12,..C,..C,..C,..C,..C,..C,..C,..C,9,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,78,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,45,1005,..C,8850
Waitomo District,18,..C,..C,60,..C,..C,9,..C,75,45,177,..C,3222,..C,9,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,21,..C,..C,12,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,33,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,24,480,..C,4278
Taupo District,51,27,..C,267,12,..C,21,6,102,18,9,174,30,12294,24,60,342,12,6,..C,18,..C,18,9,6,12,..C,..C,57,6,..C,..C,18,..C,..C,..C,..C,..C,18,39,..C,..C,..C,15,..C,..C,..C,..C,..C,..C,..C,..C,18,..C,..C,..C,..C,..C,..C,..C,..C,9,..C,..C,6,..C,9,..C,..C,51,15,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,105,1731,..C,15699
Western Bay of Plenty District,21,9,..C,225,33,495,27,75,75,27,..C,42,..C,33,10635,5607,288,147,36,15,9,..C,15,12,..C,6,..C,..C,6,..C,..C,..C,12,..C,..C,6,..C,..C,6,27,..C,..C,..C,21,..C,9,..C,..C,..C,..C,..C,6,21,..C,..C,15,45,..C,..C,..C,9,..C,..C,..C,..C,..C,..C,..C,..C,18,171,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,96,1962,..C,20337
Tauranga City,33,42,..C,492,42,51,42,177,213,57,12,108,9,81,2433,40731,486,357,54,12,21,..C,12,18,..C,21,..C,..C,15,..C,..C,..C,18,..C,..C,9,..C,..C,9,69,..C,..C,..C,21,..C,21,..C,6,..C,..C,..C,12,57,6,..C,6,24,24,..C,..C,6,9,9,..C,..C,..C,..C,..C,6,12,372,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,240,4347,..C,50901
Rotorua District,24,30,..C,204,12,6,9,21,84,15,12,240,..C,297,111,318,23544,132,132,12,15,..C,12,12,..C,9,..C,..C,18,9,..C,..C,12,..C,..C,..C,..C,..C,..C,27,..C,..C,..C,135,..C,..C,..C,..C,..C,..C,..C,..C,21,6,..C,..C,..C,..C,..C,..C,..C,..C,12,..C,..C,..C,..C,..C,..C,9,105,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,111,2550,..C,28356
Whakatane District,18,30,..C,78,9,..C,6,9,27,..C,..C,6,..C,42,90,159,255,10131,900,228,12,9,..C,6,..C,..C,..C,..C,..C,..C,..C,..C,6,..C,..C,..C,..C,..C,..C,15,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,12,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,93,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,51,1287,..C,13590
Kawerau District,..C,..C,..C,15,..C,..C,..C,..C,..C,..C,..C,..C,..C,6,6,27,48,330,1056,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,15,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,9,204,..C,1767
Opotiki District,..C,..C,..C,24,..C,..C,..C,..C,6,..C,..C,..C,..C,6,15,18,15,189,15,2430,12,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,21,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,12,366,..C,3174
Gisborne District,..C,12,..C,81,..C,..C,9,..C,9,..C,..C,..C,..C,..C,15,9,21,9,..C,12,15720,30,27,15,9,6,..C,..C,..C,..C,..C,..C,9,..C,..C,..C,..C,..C,..C,18,..C,..C,..C,12,..C,..C,..C,..C,..C,..C,..C,..C,18,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,183,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,60,1776,..C,18156
Wairoa District,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,60,2586,27,33,9,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,9,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,9,27,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,363,..C,3180
Hastings District,..C,..C,..C,90,..C,..C,12,..C,18,..C,..C,..C,..C,15,..C,12,12,..C,..C,..C,18,30,24483,4095,267,15,..C,6,9,6,..C,9,24,18,..C,6,12,9,9,69,..C,..C,..C,..C,9,6,..C,..C,..C,..C,..C,..C,15,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,309,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,129,3330,..C,33126
Napier City,..C,6,..C,93,..C,..C,..C,..C,18,..C,..C,6,..C,33,6,15,..C,..C,..C,..C,12,51,6000,16629,96,15,..C,..C,9,..C,..C,..C,18,15,..C,..C,..C,6,9,51,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,18,..C,..C,..C,..C,..C,..C,..C,..C,..C,6,..C,..C,..C,..C,..C,..C,..C,..C,..C,246,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,105,2328,9,25902
Central Hawke's Bay District,..C,..C,..C,12,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,6,27,630,159,4656,..C,..C,..C,..C,..C,..C,6,15,48,..C,..C,..C,..C,..C,12,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,63,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,21,627,..C,6342
New Plymouth District,..C,6,..C,105,..C,..C,9,..C,18,..C,..C,..C,12,18,..C,6,6,..C,..C,..C,..C,..C,..C,12,..C,30648,435,840,..C,15,..C,..C,30,..C,..C,..C,..C,..C,6,57,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,18,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,207,..C,..C,..C,..C,..C,..C,..C,..C,..C,105,3135,15,35811
Stratford District,..C,..C,..C,9,..C,..C,..C,..C,6,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,522,2583,777,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,36,..C,..C,..C,..C,..C,..C,..C,..C,..C,12,408,..C,4383
South Taranaki District,..C,..C,..C,27,..C,..C,..C,..C,12,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,492,225,10230,..C,111,..C,6,6,39,..C,..C,..C,..C,..C,15,6,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,9,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,66,..C,..C,..C,..C,..C,..C,..C,..C,..C,36,1176,..C,12504
Ruapehu District,..C,..C,..C,30,..C,..C,..C,..C,21,..C,..C,..C,69,78,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,18,..C,..C,4458,30,18,6,42,..C,..C,..C,..C,..C,..C,6,..C,..C,..C,6,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,9,..C,..C,..C,..C,..C,..C,..C,..C,24,633,..C,5520
Wanganui District,..C,9,..C,42,..C,..C,..C,..C,6,..C,..C,..C,..C,15,..C,..C,..C,..C,..C,..C,..C,..C,9,..C,..C,42,..C,234,42,14487,222,96,318,18,69,6,..C,..C,9,54,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,15,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,6,87,..C,..C,..C,..C,..C,..C,..C,..C,42,1587,..C,17484
Rangitikei District,..C,..C,..C,24,..C,..C,6,..C,..C,..C,..C,..C,..C,9,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,6,129,402,4497,408,495,9,21,..C,..C,..C,..C,24,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,24,..C,..C,..C,..C,..C,..C,..C,..C,27,672,..C,6816
Manawatu District,..C,..C,..C,42,..C,..C,..C,..C,9,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,9,..C,..C,9,..C,6,21,63,354,6777,4719,60,132,15,6,6,6,42,..C,..C,..C,..C,..C,6,..C,..C,..C,..C,..C,..C,15,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,48,..C,..C,..C,..C,..C,..C,..C,..C,54,1185,..C,13665
Palmerston North City,..C,9,..C,132,..C,..C,..C,..C,15,..C,..C,..C,..C,6,..C,15,9,..C,..C,..C,9,..C,24,18,12,27,..C,18,93,117,204,1377,31425,210,252,39,12,30,27,186,24,..C,6,..C,6,6,..C,..C,..C,..C,..C,6,27,21,..C,6,..C,..C,..C,..C,..C,..C,6,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,57,..C,..C,..C,..C,..C,..C,..C,..C,108,2721,..C,37329
Tararua District,6,..C,..C,12,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,12,9,174,..C,..C,..C,..C,6,12,54,510,5994,9,..C,..C,..C,9,15,96,18,12,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,6,..C,12,..C,..C,..C,..C,..C,..C,..C,..C,33,795,..C,7857
Horowhenua District,..C,..C,..C,27,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,6,..C,9,..C,..C,6,27,42,108,1260,12,7905,549,57,24,48,267,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,9,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,18,15,..C,..C,..C,..C,..C,..C,..C,54,1263,..C,11760
Kapiti Coast District,..C,..C,..C,84,..C,..C,..C,..C,6,..C,..C,..C,..C,6,..C,..C,..C,..C,..C,..C,..C,..C,6,..C,..C,18,..C,..C,15,6,..C,12,147,..C,411,11388,1158,138,807,4698,9,..C,6,..C,..C,18,..C,..C,..C,..C,..C,..C,36,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,135,..C,..C,..C,..C,..C,..C,..C,129,1785,..C,21105
Porirua City,..C,..C,..C,93,15,..C,..C,..C,12,..C,..C,..C,..C,9,..C,9,6,..C,..C,..C,..C,..C,9,..C,..C,9,..C,..C,..C,..C,..C,..C,18,..C,18,318,8655,321,1608,9612,12,..C,12,..C,..C,..C,..C,..C,..C,..C,..C,..C,18,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,195,..C,..C,..C,..C,..C,..C,..C,117,2118,..C,23247
Upper Hutt City,..C,6,..C,60,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,6,..C,..C,6,..C,..C,6,24,..C,..C,48,438,7494,4461,4968,24,15,21,..C,..C,..C,..C,..C,..C,..C,..C,..C,12,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,213,..C,..C,..C,..C,..C,..C,..C,120,1509,..C,19503
Lower Hutt City,..C,..C,..C,132,..C,..C,..C,..C,6,..C,..C,..C,..C,..C,..C,6,..C,..C,..C,..C,6,..C,15,9,..C,15,..C,..C,..C,..C,..C,..C,21,..C,9,120,699,1584,24366,15042,33,9,24,..C,..C,6,..C,..C,..C,..C,..C,..C,51,6,..C,..C,..C,..C,..C,..C,..C,..C,9,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,408,..C,..C,..C,..C,..C,..C,..C,246,3897,..C,46824
Wellington City,21,33,..C,489,15,..C,..C,..C,39,9,..C,..C,..C,12,9,33,12,12,..C,..C,15,..C,54,42,6,54,..C,9,15,18,9,12,84,9,24,282,2784,567,5046,88452,81,18,69,18,33,45,..C,6,..C,..C,..C,..C,138,6,9,9,6,..C,..C,9,9,21,30,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,642,6,..C,..C,..C,..C,..C,..C,336,5526,..C,105240
