"TA","to","commuting_correction"
"Ashburton District","Timaru District",0.0115445859872611
"Auckland","Whangarei District",0.0019180346266464
"Buller District","Christchurch City",0.00468854655056932
"Carterton District","Wellington City",0.0796387520525452
"Central Hawke's Bay District","Tararua District",0.00861604738826064
"Central Otago District","Auckland",0.00972559916637721
"Christchurch City","Auckland",0.00186138388193508
"Clutha District","Central Otago District",0.00617045892788276
"Dunedin City","Clutha District",0.00940200887643074
"Far North District","Wellington City",0.00248921340856289
"Gisborne District","Hastings District",0.00168318683373854
"Gore District","Clutha District",0.0145251396648045
"Grey District","Christchurch City",0.0132924335378323
"Hamilton City","Auckland",0.0258567931456548
"Hastings District","Auckland",0.00307440049190408
"Hauraki District","Matamata-Piako District",0.0376219228982815
"Horowhenua District","Wellington City",0.0257821552723059
"Hurunui District","Selwyn District",0.00544959128065395
"Invercargill City","Gore District",0.00835291046724093
"Kaikoura District","Marlborough District",0.0106761565836299
"Kaipara District","Far North District",0.00882352941176471
"Kapiti Coast District","Lower Hutt City",0.0425430966313459
"Kawerau District","Tauranga City",0.0181451612903226
"Lower Hutt City","Porirua City",0.0165765509391007
"Mackenzie District","Christchurch City",0.0218340611353712
"Manawatu District","Horowhenua District",0.0107343254452305
"Marlborough District","Christchurch City",0.00644765121277249
"Masterton District","South Wairarapa District",0.0252100840336134
"Matamata-Piako District","Auckland",0.0155590131140253
"Napier City","Auckland",0.00402388369678089
"Nelson City","Christchurch City",0.00498606833846605
"New Plymouth District","Auckland",0.00325672280636457
"Opotiki District","Tauranga City",0.00659340659340659
"Otorohanga District","Hamilton City",0.0646417445482866
"Palmerston North City","Tararua District",0.00610926863326933
"Porirua City","Upper Hutt City",0.0154668979473836
"Queenstown-Lakes District","Auckland",0.0105704028719585
"Rangitikei District","Wanganui District",0.0666666666666667
"Rotorua District","South Waikato District",0.009415087678004
"Ruapehu District","Palmerston North City",0.00878293601003764
"Selwyn District","Waimakariri District",0.00568031704095112
"South Taranaki District","Wanganui District",0.00993022007514761
"South Waikato District","Rotorua District",0.0231736056559309
"South Wairarapa District","Carterton District",0.0498245614035088
"Southland District","Auckland",0.00671960904092853
"Stratford District","Auckland",0.0023094688221709
"Tararua District","Masterton District",0.0138169257340242
"Tasman District","Marlborough District",0.00474478792235802
"Taupo District","South Waikato District",0.0126886895646467
"Tauranga City","Rotorua District",0.0106055646481178
"Thames-Coromandel District","Hamilton City",0.0172205438066465
"Timaru District","Waimate District",0.00504432895139101
"Upper Hutt City","Porirua City",0.0249019273409517
"Waikato District","Waipa District",0.022189349112426
"Waimakariri District","Hurunui District",0.0119620335457028
"Waimate District","Christchurch City",0.00762631077216397
"Waipa District","Waikato District",0.024741081703107
"Wairoa District","Hastings District",0.00991189427312775
"Waitaki District","Christchurch City",0.00582790538224203
"Waitomo District","Auckland",0.0164473684210526
"Wanganui District","Rangitikei District",0.0141464347161155
"Wellington City","Upper Hutt City",0.00574625277431516
"Western Bay of Plenty District","Rotorua District",0.0159866777685262
"Westland District","Buller District",0.00678221552373775
"Whakatane District","Opotiki District",0.0189243027888446
"Whangarei District","Kaipara District",0.0114752403597643
