"TA","to","commuting_correction"
"Ashburton District","Selwyn District",0.0199044585987261
"Auckland","Waikato District",0.00199965312139731
"Buller District","Auckland",0.00803750837240455
"Carterton District","South Wairarapa District",0.0804597701149425
"Central Hawke's Bay District","Napier City",0.0285406569736134
"Central Otago District","Dunedin City",0.019798541160125
"Christchurch City","Waimakariri District",0.0130296871735456
"Clutha District","Gore District",0.0219822599305823
"Dunedin City","Waitaki District",0.00992758701238028
"Far North District","Auckland",0.0152671755725191
"Gisborne District","Wairoa District",0.00187020759304283
"Gore District","Invercargill City",0.0324022346368715
"Grey District","Westland District",0.0286298568507157
"Hamilton City","Waipa District",0.0321297429620563
"Hastings District","Central Hawke's Bay District",0.00912072145931543
"Hauraki District","Auckland",0.0487691593125871
"Horowhenua District","Kapiti Coast District",0.0530127462340672
"Hurunui District","Waimakariri District",0.0653950953678474
"Invercargill City","Auckland",0.00861393891934221
"Kaikoura District","Hurunui District",0.0195729537366548
"Kaipara District","Whangarei District",0.0621848739495798
"Kapiti Coast District","Porirua City",0.0610469713743476
"Kawerau District","Rotorua District",0.032258064516129
"Lower Hutt City","Upper Hutt City",0.0375640295959021
"Mackenzie District","Waitaki District",0.0363901018922853
"Manawatu District","Rangitikei District",0.0287875091485728
"Marlborough District","Nelson City",0.00782929075836659
"Masterton District","Wellington City",0.0326797385620915
"Matamata-Piako District","Waipa District",0.01578128472994
"Napier City","Central Hawke's Bay District",0.00415368639667705
"Nelson City","Auckland",0.0129051180525004
"New Plymouth District","Stratford District",0.0134921373406532
"Opotiki District","Auckland",0.00879120879120879
"Otorohanga District","Waitomo District",0.0802180685358255
"Palmerston North City","Horowhenua District",0.0073311223599232
"Porirua City","Lower Hutt City",0.0774790401850246
"Queenstown-Lakes District","Dunedin City",0.0111687275628241
"Rangitikei District","Manawatu District",0.0676616915422886
"Rotorua District","Taupo District",0.01165117100153
"Ruapehu District","Waitomo District",0.0144291091593476
"Selwyn District","Ashburton District",0.0116248348745046
"South Taranaki District","Stratford District",0.0201288244766506
"South Waikato District","Hamilton City",0.0271013354281225
"South Wairarapa District","Masterton District",0.0870175438596491
"Southland District","Gore District",0.027896558745673
"Stratford District","New Plymouth District",0.133949191685912
"Tararua District","Central Hawke's Bay District",0.0250431778929188
"Tasman District","Auckland",0.00862688713156003
"Taupo District","Auckland",0.0194705753664406
"Tauranga City","Auckland",0.0107364975450082
"Thames-Coromandel District","Hauraki District",0.0290030211480363
"Timaru District","Ashburton District",0.0110058086212168
"Upper Hutt City","Lower Hutt City",0.253624424356132
"Waikato District","Auckland",0.182180245789713
"Waimakariri District","Selwyn District",0.0123520998569757
"Waimate District","Waitaki District",0.0571973307912297
"Waipa District","Otorohanga District",0.0251726121979287
"Wairoa District","Napier City",0.0121145374449339
"Waitaki District","Auckland",0.0085704490915324
"Waitomo District","Hamilton City",0.0205592105263158
"Wanganui District","South Taranaki District",0.0149111068629325
"Wellington City","Porirua City",0.0282144051564258
"Western Bay of Plenty District","Hauraki District",0.0274771024146545
"Westland District","Auckland",0.00828937452901281
"Whakatane District","Rotorua District",0.0211653386454183
"Whangarei District","Far North District",0.0132327096040525
