"TA","to","commuting_correction"
"Ashburton District","Auckland",0.00119426751592357
"Auckland","Far North District",0.00175989879306651
"Buller District","Nelson City",0.00401875418620228
"Carterton District","Lower Hutt City",0.0279146141215107
"Central Hawke's Bay District","Wairoa District",0.00484652665589661
"Central Otago District","Christchurch City",0.00521014241055922
"Christchurch City","Ashburton District",0.00186138388193508
"Clutha District","Auckland",0.00539915156189742
"Dunedin City","Christchurch City",0.00572296192478393
"Far North District","Kaipara District",0.00232326584799203
"Gisborne District","Rotorua District",0.00130914531512998
"Gore District","Auckland",0.00614525139664804
"Grey District","Auckland",0.00920245398773006
"Hamilton City","Matamata-Piako District",0.0123419012647899
"Hastings District","Wellington City",0.00235704037712646
"Hauraki District","Western Bay of Plenty District",0.025545750116117
"Horowhenua District","Manawatu District",0.0104287369640788
"Hurunui District","Kaikoura District",0.00326975476839237
"Invercargill City","Christchurch City",0.0043069694596711
"Kaikoura District","Auckland",0.00711743772241993
"Kaipara District","Wellington City",0.00294117647058824
"Kapiti Coast District","Horowhenua District",0.021666930254626
"Kawerau District","Auckland",0.0100806451612903
"Lower Hutt City","Auckland",0.00313033579965851
"Mackenzie District","Ashburton District",0.00727802037845706
"Manawatu District","Wanganui District",0.00512320078067821
"Marlborough District","Tasman District",0.00552655818237642
"Masterton District","Lower Hutt City",0.00995953937130408
"Matamata-Piako District","Waikato District",0.0137808401867082
"Napier City","Wairoa District",0.00220664589823468
"Nelson City","Napier City",0.00425282299457398
"New Plymouth District","Wellington City",0.00176793523774076
"Opotiki District","Western Bay of Plenty District",0.00549450549450549
"Otorohanga District","Auckland",0.014018691588785
"Palmerston North City","Rangitikei District",0.00593471810089021
"Porirua City","Kapiti Coast District",0.0153223474992772
"Queenstown-Lakes District","Christchurch City",0.00618268847227762
"Rangitikei District","Ruapehu District",0.0213930348258706
"Rotorua District","Auckland",0.0080028245263034
"Ruapehu District","Auckland",0.00627352572145546
"Selwyn District","Auckland",0.0035667107001321
"South Taranaki District","Tararua District",0.00348899624261943
"South Waikato District","Waipa District",0.0200314218381775
"South Wairarapa District","Lower Hutt City",0.0343859649122807
"Southland District","Queenstown-Lakes District",0.00407249032783547
"Stratford District","Hamilton City",0.00153964588144727
"Tararua District","Manawatu District",0.0077720207253886
"Tasman District","Christchurch City",0.00431344356578001
"Taupo District","Hamilton City",0.00743819733099978
"Tauranga City","Whakatane District",0.00779050736497545
"Thames-Coromandel District","Matamata-Piako District",0.00604229607250755
"Timaru District","Mackenzie District",0.00275145215530419
"Upper Hutt City","Auckland",0.00341122292341805
"Waikato District","Matamata-Piako District",0.0108101957214383
"Waimakariri District","Auckland",0.00429072942400208
"Waimate District","Marlborough District",0.00285986653956149
"Waipa District","Auckland",0.0197065592635213
"Wairoa District","Central Hawke's Bay District",0.00330396475770925
"Waitaki District","Waimate District",0.00582790538224203
"Waitomo District","Waipa District",0.0123355263157895
"Wanganui District","Manawatu District",0.00611737717453642
"Wellington City","Auckland",0.00495576297467392
"Western Bay of Plenty District","Auckland",0.0124895920066611
"Westland District","Christchurch City",0.00602863602110023
"Whakatane District","Tauranga City",0.0131972111553785
"Whangarei District","Wellington City",0.00186084978806989
